,variant,respondent,task,screen,designId,width,height,x,y,order,id,first,last
78,interactive,2,1,BEGIN-1,258556,420,180,195.4999999999998,111.99999999999996,170934,1,True,False
79,interactive,2,1,BEGIN-1,258556,420,180,195.4999999999998,111.99999999999996,170935,2,False,True
80,interactive,2,1,HOME,258588,1920,2702,462.0,166.99999999999915,170936,3,True,True
81,interactive,2,1,TSHIRTS,258584,1920,3370,1584.9999999999995,1331.606201171876,170937,4,True,False
82,interactive,2,1,TSHIRTS,258584,1920,3370,1116.999999999999,1864.6666259765632,170938,5,False,False
83,interactive,2,1,TSHIRTS,258584,1920,3370,762.0,2156.6665039062495,170939,6,False,True
84,interactive,2,1,TSHIRT,258582,1920,2428,1558.9999999999989,719.606170654297,170940,7,True,False
85,interactive,2,1,TSHIRT,258582,1920,2428,1129.9999999999986,840.6061706542969,170941,8,False,False
86,interactive,2,1,TSHIRT,258582,1920,2428,1549.9999999999986,715.6061706542973,170942,9,False,True
87,interactive,2,2,BEGIN-2,258558,420,180,241.49999999999997,127.00000000000009,170943,10,True,False
88,interactive,2,2,BEGIN-2,258558,420,180,205.4999999999999,124.0,170944,11,False,False
89,interactive,2,2,BEGIN-2,258558,420,180,205.4999999999999,124.0,170945,12,False,True
90,interactive,2,2,HOME,258588,1920,2702,1605.5263061523438,89.0000000000001,170946,13,True,False
91,interactive,2,2,WISHLIST,258575,1920,1832,981.0,518.0000000000005,170947,14,True,False
92,interactive,2,2,WISHLIST,258575,1920,1832,1166.000000000001,523.6152343749991,170948,15,False,False
93,interactive,2,2,WISHLIST,258575,1920,1832,1160.0000000000005,528.6152343750002,170949,16,False,False
94,interactive,2,2,WISHLIST,258575,1920,1832,1164.9999999999995,524.6152343750005,170950,17,False,False
95,interactive,2,2,WISHLIST,258575,1920,1832,351.9999999999993,378.0000000000006,170951,18,False,False
96,interactive,2,2,TSHIRT,258582,1920,2428,1155.0,995.6061706542972,170952,19,True,False
97,interactive,2,2,TSHIRT,258582,1920,2428,1131.999999999999,986.6061706542964,170953,20,False,False
98,interactive,2,2,TSHIRT,258582,1920,2428,1122.999999999999,988.9395141601568,170954,21,False,False
99,interactive,2,2,TSHIRT,258582,1920,2428,1125.999999999999,987.9395141601556,170955,22,False,False
100,interactive,2,2,TSHIRT,258582,1920,2428,1120.9999999999986,980.9395141601576,170956,23,False,False
101,interactive,2,2,TSHIRT,258582,1920,2428,1645.5263061821454,77.00000000000071,170957,24,False,False
102,interactive,2,2,CART,258574,1920,1832,1551.0,334.89712524414125,170958,25,True,False
103,interactive,2,2,CART,258574,1920,1832,1555.526306152343,89.00000000000018,170959,26,False,False
104,interactive,2,2,REGISTER,258560,1920,1860,837.9999999999993,418.0000000000002,170960,27,True,False
105,interactive,2,2,REGISTER,258560,1920,1860,878.0000000000006,471.99999999999983,170961,28,False,False
106,interactive,2,2,REGISTER,258560,1920,1860,840.0,552.9999999999994,170962,29,False,False
107,interactive,2,2,REGISTER,258560,1920,1860,1046.000000000001,637.0000000000003,170963,30,False,True
108,interactive,2,2,HOME,258588,1920,2702,1653.0,83.00000000000034,170964,31,False,True
109,interactive,2,2,CART,258574,1920,1832,1605.999999999999,89.00000000000018,170965,32,False,False
110,interactive,2,2,WISHLIST,258575,1920,1832,1610.0000000000005,86.99999999999942,170966,33,False,False
111,interactive,2,2,WISHLIST,258575,1920,1832,446.0000000000007,164.99999999999986,170967,34,False,True
112,interactive,2,2,TSHIRTS,258584,1920,3370,357.9999999999994,1486.6062011718757,170968,35,True,False
113,interactive,2,2,TSHIRTS,258584,1920,3370,438.0,1481.606201171874,170969,36,False,False
114,interactive,2,2,TSHIRTS,258584,1920,3370,387.9999999999994,1447.9999999999998,170970,37,False,False
115,interactive,2,2,TSHIRTS,258584,1920,3370,314.0000000000006,1493.0,170971,38,False,False
116,interactive,2,2,TSHIRTS,258584,1920,3370,1527.0,1333.6062011718757,170972,39,False,False
117,interactive,2,2,TSHIRTS,258584,1920,3370,738.0,1696.0000000000016,170973,40,False,True
118,interactive,2,2,TSHIRT,258582,1920,2428,1122.0,1000.939514160156,170974,41,False,False
119,interactive,2,2,TSHIRT,258582,1920,2428,1629.0,94.99999999999932,170975,42,False,False
120,interactive,2,2,TSHIRT,258582,1920,2428,1644.9999999999995,85.9999999999988,170976,43,False,True
121,interactive,2,2,CART,258574,1920,1832,1551.999999999999,342.89712524414085,170977,44,False,True
122,interactive,2,2,BILLING,258572,1920,1832,692.0000000000007,777.3333129882816,170978,45,True,False
123,interactive,2,2,BILLING,258572,1920,1832,1059.9999999999995,801.3333129882823,170979,46,False,False
124,interactive,2,2,BILLING,258572,1920,1832,747.9999999999993,846.3333129882811,170980,47,False,False
125,interactive,2,2,BILLING,258572,1920,1832,747.0,857.3333129882809,170981,48,False,False
126,interactive,2,2,BILLING,258572,1920,1832,789.0,865.3333129882806,170982,49,False,False
127,interactive,2,2,BILLING,258572,1920,1832,660.9999999999994,1001.3333129882805,170983,50,False,False
128,interactive,2,2,BILLING,258572,1920,1832,1280.0000000000005,1119.3333129882806,170984,51,False,False
129,interactive,2,2,BILLING,258572,1920,1832,762.9999999999993,607.6666564941414,170985,52,False,False
130,interactive,2,2,BILLING,258572,1920,1832,1046.000000000001,797.3333129882805,170986,53,False,False
131,interactive,2,2,BILLING,258572,1920,1832,1254.0,1108.3333129882808,170987,54,False,True
132,interactive,2,2,PAYMENT,258571,1920,1832,714.9999999999993,466.999999999999,170988,55,True,False
133,interactive,2,2,PAYMENT,258571,1920,1832,699.0,440.9999999999996,170989,56,False,False
134,interactive,2,2,PAYMENT,258571,1920,1832,1286.000000000001,582.0000000000006,170990,57,False,True
135,interactive,2,2,SUMMARY,258573,1920,1832,1550.0000000000005,838.6666564941404,170991,58,True,True
